id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,goal_diff
1,6/14/2018,Russia,Saudi Arabia,a,FIFA World Cup,-1,0,6,-2,0,1,-7.61,4.35,3,7,8,5,4,2,-1.82,-0.3,-19,-17,-9,-11,-27,0,1,-17,win,5
1,6/15/2018,Egypt,Uruguay,a,FIFA World Cup,-1,0,0,-3,1,-2,6.93,4.1,31,-4,-11,0,-6,-2,2.46,0.07,14,13,25,21,-12,0,-9,-30,lose,-1
1,6/15/2018,Morocco,Iran,a,FIFA World Cup,0,2,4,-1,1,-2,-1.94,2.98,4,2,0,4,4,0,2.27,-0.2,-31,-31,-9,21,-9,17,9,46,lose,-1
1,6/15/2018,Portugal,Spain,a,FIFA World Cup,-7,13,-16,-1,0,-1,2.34,3.28,-6,-1,4,-3,-3,-1,-1.18,-0.5,19,22,27,26,42,-9,-4,-14,draw,0
1,6/16/2018,France,Australia,a,FIFA World Cup,1,1,9,-1,3,-3,-9.17,7.23,-29,13,17,12,12,4,-1.18,-1.48,-14,-19,-28,7,-31,4,-5,1,win,1
1,6/16/2018,Argentina,Iceland,a,FIFA World Cup,0,0,-3,1,0,2,-10.01,5.41,-17,9,11,4,7,7,1,1.12,-13,-12,-34,-20,-8,33,-4,-8,draw,0
1,6/16/2018,Peru,Denmark,a,FIFA World Cup,0,0,-4,-1,1,0,1.4,3.11,-1,-2,2,-4,-2,-2,0.82,0.78,3,-4,-22,38,11,-2,8,18,lose,-1
1,6/16/2018,Croatia,Nigeria,a,FIFA World Cup,0,0,-5,-2,0,-1,-4.46,3.79,-28,5,6,6,6,2,3.82,1.41,-17,-20,-27,3,-16,-9,-23,-7,win,2
1,6/17/2018,Costa Rica,Serbia,a,FIFA World Cup,0,0,-9,5,-3,0,3.52,3.43,-11,-5,-7,-8,-5,-3,1.09,3.13,-1,0,-6,44,-5,-1,-6,-5,lose,-1
1,6/17/2018,Germany,Mexico,a,FIFA World Cup,4,5,9,-2,1,1,-5.75,4.58,-14,7,4,6,8,3,-0.81,-2.65,-12,-6,-20,-20,-34,-2,0,20,lose,-1
1,6/17/2018,Brazil,Switzerland,a,FIFA World Cup,1,3,-5,-1,-2,2,-6.63,4.43,-4,8,11,8,6,5,0.36,1.96,-2,-3,-20,-22,7,30,14,3,draw,0
1,6/18/2018,Sweden,South Korea,a,FIFA World Cup,1,2,1,-3,-1,-1,-1.66,3.05,-33,4,7,2,7,0,1.54,0.06,3,3,16,-22,-12,22,22,-31,win,1
1,6/18/2018,Belgium,Panama,a,FIFA World Cup,0,0,22,-6,5,1,-16.4,6.77,-52,14,17,14,14,6,-3.82,0.14,-13,-14,-1,35,9,1,-5,-25,win,3
1,6/18/2018,Tunisia,England,a,FIFA World Cup,-1,1,0,3,0,-2,7.06,4.23,9,-8,-10,-9,-8,-5,3.18,0.5,36,29,48,-6,38,1,14,0,lose,-1
1,6/19/2018,Colombia,Japan,a,FIFA World Cup,2,1,5,-7,0,3,-3.22,3.34,-45,4,6,0,5,2,-1.28,0.08,-2,-3,10,-20,-7,-18,-14,28,lose,-1
1,6/19/2018,Poland,Senegal,a,FIFA World Cup,0,0,7,9,1,-4,-0.81,3.06,-19,4,6,1,2,-2,1.18,0.05,-2,1,-7,3,-14,-2,-27,-14,lose,-1
2,6/19/2018,Russia,Egypt,a,FIFA World Cup,0,0,7,9,-2,1,-2.36,3.57,25,3,4,0,1,1,-1.64,0.03,-2,0,5,-27,15,0,-15,15,win,2
2,6/20/2018,Portugal,Morocco,a,FIFA World Cup,-1,0,2,4,1,1,-4.34,3.7,-37,8,14,6,5,5,-1,0.7,13,12,16,0,4,23,24,-30,win,1
2,6/20/2018,Uruguay,Saudi Arabia,a,FIFA World Cup,-1,1,4,-13,3,1,-16.78,6.73,-53,8,15,5,9,3,-2.64,-0.4,-31,-30,-39,-5,-30,0,25,-2,win,1
2,6/20/2018,Iran,Spain,a,FIFA World Cup,0,0,-20,-3,-1,0,18.11,6.86,27,-11,-10,-13,-12,-6,-2.45,-1,37,41,20,5,47,-49,-37,-30,lose,-1
2,6/21/2018,Denmark,Australia,a,FIFA World Cup,1,0,6,-9,3,-1,-2.78,3.44,-24,6,7,7,6,0,0.46,-0.58,1,4,16,-4,-21,25,10,-14,draw,0
2,6/21/2018,France,Peru,a,FIFA World Cup,-1,0,8,6,1,-1,-5,3.87,-4,9,8,9,8,6,-2.46,-1.68,-18,-19,-22,-27,-21,-19,-23,-3,win,1
2,6/21/2018,Argentina,Croatia,a,FIFA World Cup,1,1,6,7,-1,2,-2.04,3.29,-15,4,5,0,3,3,1.27,1.89,-15,-11,-16,-22,-22,27,14,-22,lose,-3
2,6/22/2018,Brazil,Costa Rica,a,FIFA World Cup,8,0,12,-11,4,2,-17.96,6.71,-21,13,18,12,11,7,-3.36,-1.15,2,-2,-11,-43,28,33,23,24,win,2
2,6/22/2018,Nigeria,Iceland,a,FIFA World Cup,-1,0,-6,-1,0,0,0.27,3.1,26,0,0,-2,-2,2,-4.09,-2.18,19,19,9,-1,30,15,5,21,win,2
2,6/22/2018,Serbia,Switzerland,a,FIFA World Cup,1,3,-7,2,-1,0,-0.2,3.05,28,0,0,4,0,1,2.63,-0.02,-3,-1,-3,-23,-16,-2,-3,-16,lose,-1
2,6/23/2018,Belgium,Tunisia,a,FIFA World Cup,0,1,23,-2,5,-1,-10.72,5.19,-18,10,12,11,11,4,-0.09,0.34,-36,-32,-43,31,-23,31,-3,-13,win,3
2,6/23/2018,South Korea,Mexico,a,FIFA World Cup,-3,2,-1,3,-2,1,4.03,3.81,42,-6,-10,-5,-7,-2,-0.54,-1.42,10,9,3,17,6,-24,-17,26,lose,-1
2,6/23/2018,Germany,Sweden,a,FIFA World Cup,3,9,3,2,0,1,-6.17,4.66,-23,9,7,9,8,5,-1.81,-1.29,-25,-18,-39,-15,-28,0,-5,25,win,1
2,6/24/2018,England,Panama,a,FIFA World Cup,0,0,2,-13,3,2,-17.51,6.48,-43,12,15,12,11,7,-6.91,-0.7,-13,-11,-6,10,-6,-31,-16,-12,win,5
2,6/24/2018,Japan,Senegal,a,FIFA World Cup,-2,1,-2,13,-2,-3,0.56,2.99,34,-1,-1,1,-3,-2,2.64,0.8,19,18,2,12,32,18,-4,-13,draw,0
2,6/24/2018,Poland,Colombia,a,FIFA World Cup,-1,0,4,3,3,-4,1.28,3.47,-8,1,1,0,0,-2,-0.18,-0.83,-19,-14,-19,11,-39,-2,-9,-29,lose,-3
3,,Saudi Arabia,Egypt,,FIFA World Cup,-2,2,-1,9,-2,1,2.75,3.54,22,-4,-4,-5,-3,-1,0.18,0.33,17,17,14,-16,42,0,-16,32,win,1
3,,Uruguay,Russia,,FIFA World Cup,-5,1,-6,-12,3,1,-0.26,3.07,-56,1,7,0,5,1,-0.82,-0.1,-12,-13,-30,6,-3,0,24,15,win,3
3,,Iran,Portugal,,FIFA World Cup,-2,0,-5,-2,-1,0,4.39,3.72,33,-10,-14,-10,-9,-5,-1.27,-0.5,18,19,-7,-21,5,-40,-33,-16,draw,0
3,,Spain,Morocco,,FIFA World Cup,2,0,16,3,1,2,-9.31,5.07,-31,9,10,9,8,6,0.18,1.2,-6,-10,-11,-26,-38,32,28,-16,draw,0
3,,Australia,Peru,,FIFA World Cup,0,0,-1,8,-2,1,0.55,3.36,25,-4,-9,-3,-4,2,-1.28,-0.2,-4,0,6,-34,10,-23,-18,-4,lose,-2
3,,Denmark,France,,FIFA World Cup,-4,1,-5,-3,-2,2,2.35,2.66,5,-7,-10,-5,-6,-4,1.64,0.9,15,23,44,-11,10,21,15,-15,draw,0
3,,Iceland,Croatia,,FIFA World Cup,-3,1,5,8,-2,0,1.37,3.39,2,-5,-6,-4,-4,-4,0.27,0.77,-2,1,18,-2,-14,-6,18,-14,lose,-1
3,,Nigeria,Argentina,,FIFA World Cup,-3,1,3,-6,2,-2,4.75,4.37,43,-9,-11,-6,-9,-5,-5.09,-3.3,32,31,43,19,38,-18,9,29,lose,-1
3,,Mexico,Sweden,,FIFA World Cup,-2,3,3,2,2,0,-0.72,3.27,-9,2,3,3,0,2,-1,1.36,-13,-12,-19,5,6,2,-5,5,lose,-3
3,,South Korea,Germany,,FIFA World Cup,-1,0,-6,4,-1,-1,14.86,7.43,56,-13,-14,-11,-15,-5,0.27,1.23,22,15,23,37,40,-22,-17,6,win,2
3,,Serbia,Brazil,,FIFA World Cup,-3,1,-1,5,0,-3,5.71,4.36,32,-8,-11,-4,-6,-4,2.27,-1.98,-1,2,17,-1,-23,-32,-17,-19,lose,-2
3,,Switzerland,Costa Rica,,FIFA World Cup,0,0,16,-8,5,0,-4.22,3.3,-17,5,7,4,5,2,-3.72,-3.11,4,1,9,-21,21,3,9,21,draw,0
3,,Japan,Poland,,FIFA World Cup,-2,0,-3,2,-1,2,-0.66,3.16,53,-5,-7,0,-5,0,1.46,0.75,21,17,9,9,46,20,23,1,lose,-1
3,,Senegal,Colombia,,FIFA World Cup,-1,1,1,-3,2,1,2.35,3.57,11,-3,-5,-1,-2,0,-1.36,-0.88,-17,-15,-12,8,-25,0,18,-15,lose,-1
3,,England,Belgium,,FIFA World Cup,15,5,-19,-5,-2,2,0.25,3.17,9,-2,-2,-2,-3,1,-3.09,-0.84,0,3,-5,-25,-15,-32,-11,13,lose,-1
3,,Panama,Tunisia,,FIFA World Cup,0,0,0,11,-1,-1,2.72,3.65,34,-4,-5,-3,-3,-2,3.73,0.2,-23,-18,-42,-4,-32,30,2,12,lose,-1
